Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Niizho-mininj gii'-maajiigi noongom gaa-biboong noozhis Dana.,My grandchild Dana grew two inches this winter.,"""<gaa-biboong>""
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0PlSubj","""<niizho-mininj>""
	""niizho-mininj"" NUM
""<gii'-maajiigi>""
	""maajiigi"" PVTense/gii' VAI Ind Pos Neu 3SgProxSubj
""<noongom>""
	""noongom"" ADVTmp
""<gaa-biboong>""
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
""<noozhis>""
	""oozhis"" NAD ProxSg 1SgPoss
""<dana>""

""<.>""
","""<niizho-mininj>""
	""niizho-mininj"" NUM
""<gii'-maajiigi>""
	""maajiigi"" PVTense/gii' VAI Ind Pos Neu 3SgProxSubj
""<noongom>""
	""noongom"" ADVTmp
""<gaa-biboong>""
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
""<noozhis>""
	""oozhis"" NAD ProxSg 1SgPoss
""<dana>""

""<.>""
",
Dibishkoo go naa ezhi'aad iniwen bakwezhiganan ezhichigeyaan.,She makes the bread the same way I do it.,"""<bakwezhiganan>""
	""bakwezhigan"" NA ObvPl
	""bakwezhigan"" NA ObvSg","""<dibishkoo>""
	""dibishkoo"" ADVMan
""<go>""
	""go"" PCDisc
""<naa>""
	""naa"" PCEmph
""<ezhi'aad>""

""<iniwen>""
	""iniwen"" PRONDem
""<bakwezhiganan>""
	""bakwezhigan"" NA ObvPl
	""bakwezhigan"" NA ObvSg
""<ezhichigeyaan>""

""<.>""
","""<dibishkoo>""
	""dibishkoo"" ADVMan
""<go>""
	""go"" PCDisc
""<naa>""
	""naa"" PCEmph
""<ezhi'aad>""

""<iniwen>""
	""iniwen"" PRONDem
""<bakwezhiganan>""
	""bakwezhigan"" NA ObvPl
	""bakwezhigan"" NA ObvSg
""<ezhichigeyaan>""

""<.>""
",
Nawaj igo owenipanenimaan iniw gichi-ayaaben gaa-waabamimag iwidi noopiming.,He thinks it's kind of easy for him to get that big buck I saw out in the woods,"""<owenipanenimaan>""
	""wenipanenim"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wenipanenim"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<gichi-ayaaben>""
	""PNLex/gichi"" ayaabe NA ObvPl
	""PNLex/gichi"" ayaabe NA ObvSg
	""PNLex/chi"" ayaabe NA ObvPl 2SgPoss
	""PNLex/chi"" ayaabe NA ObvSg 2SgPoss
""<gaa-waabamimag>""
	""waabam"" PVSub/gaa VTA Cnj Pos Neu 1SgSubj 3SgObvObj
	""waabam"" PVSub/gaa VTA Cnj Pos Neu 1SgSubj 3PlObvObj","""<nawaj>""
	""nawaj"" AVDDeg
""<igo>""
	""igo"" PCEmph
""<owenipanenimaan>""
	""wenipanenim"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wenipanenim"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<gichi-ayaaben>""
	""PNLex/gichi"" ayaabe NA ObvPl
	""PNLex/gichi"" ayaabe NA ObvSg
	""PNLex/chi"" ayaabe NA ObvPl 2SgPoss
	""PNLex/chi"" ayaabe NA ObvSg 2SgPoss
""<gaa-waabamimag>""
	""waabam"" PVSub/gaa VTA Cnj Pos Neu 1SgSubj 3SgObvObj
	""waabam"" PVSub/gaa VTA Cnj Pos Neu 1SgSubj 3PlObvObj
""<iwidi>""
	""iwidi"" ADVLoc
""<noopiming>""
	""noopiming"" ADVLoc
""<.>""
","""<nawaj>""
	""nawaj"" AVDDeg
""<igo>""
	""igo"" PCEmph
""<owenipanenimaan>""
	""wenipanenim"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wenipanenim"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<gichi-ayaaben>""
	""PNLex/gichi"" ayaabe NA ObvPl
	""PNLex/gichi"" ayaabe NA ObvSg
	""PNLex/chi"" ayaabe NA ObvPl 2SgPoss
	""PNLex/chi"" ayaabe NA ObvSg 2SgPoss
""<gaa-waabamimag>""
	""waabam"" PVSub/gaa VTA Cnj Pos Neu 1SgSubj 3SgObvObj
	""waabam"" PVSub/gaa VTA Cnj Pos Neu 1SgSubj 3PlObvObj
""<iwidi>""
	""iwidi"" ADVLoc
""<noopiming>""
	""noopiming"" ADVLoc
""<.>""
",
Akawe ningagwinjidoon wii'-ozhitooyan mishiiminaabo.,Thaw it first to make apple juice (from frozen concentrate).,"""<ningagwinjidoon>""
	""ningagwinjidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""ningagwinjidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<wii'-ozhitooyan>""
	""ozhitoon"" PVTense/wii' VTI Cnj Pos Neu 2SgSubj 0SgObj
	""ozhitoon"" PVTense/wii' VTI Cnj Pos Neu 2SgSubj 0PlObj","""<akawe>""
	""akawe"" ADVTmp
""<ningagwinjidoon>""
	""ningagwinjidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""ningagwinjidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<wii'-ozhitooyan>""
	""ozhitoon"" PVTense/wii' VTI Cnj Pos Neu 2SgSubj 0SgObj
	""ozhitoon"" PVTense/wii' VTI Cnj Pos Neu 2SgSubj 0PlObj
""<mishiiminaabo>""
	""mishiiminaabo"" NI Sg
""<.>""
","""<akawe>""
	""akawe"" ADVTmp
""<ningagwinjidoon>""
	""ningagwinjidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""ningagwinjidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<wii'-ozhitooyan>""
	""ozhitoon"" PVTense/wii' VTI Cnj Pos Neu 2SgSubj 0SgObj
	""ozhitoon"" PVTense/wii' VTI Cnj Pos Neu 2SgSubj 0PlObj
""<mishiiminaabo>""
	""mishiiminaabo"" NI Sg
""<.>""
",
Baapaagaakwadin wiiyaas. Akawe ninga-ningagwinjidoon jibwaa-giizhizamaan.,The meat is frozen solid. I'll put it in the water first to thaw it before I cook it.,"""<wiiyaas>""
	""wiiyaas"" NI Sg
	""iiyaas"" NID Sg 3SgProxPoss
""<jibwaa-giizhizamaan>""
	""giizhizan"" PVTense/jibwaa VTI Cnj Pos Neu 1SgSubj 0SgObj
	""giizhizan"" PVTense/jibwaa VTI Cnj Pos Neu 1SgSubj 0PlObj","""<baapaagaakwadin>""
	""baapaagaakwadin"" VII Ind Pos Neu 0SgSubj
""<wiiyaas>""
	""wiiyaas"" NI Sg
	""iiyaas"" NID Sg 3SgProxPoss
""<.>""

""<akawe>""
	""akawe"" ADVTmp
""<ninga-ningagwinjidoon>""
	""ningagwinjidoon"" PVTense/ga VTI Ind Pos Neu 1SgSubj 0SgObj
""<jibwaa-giizhizamaan>""
	""giizhizan"" PVTense/jibwaa VTI Cnj Pos Neu 1SgSubj 0SgObj
	""giizhizan"" PVTense/jibwaa VTI Cnj Pos Neu 1SgSubj 0PlObj
""<.>""
","""<baapaagaakwadin>""
	""baapaagaakwadin"" VII Ind Pos Neu 0SgSubj
""<wiiyaas>""
	""wiiyaas"" NI Sg
	""iiyaas"" NID Sg 3SgProxPoss
""<.>""

""<akawe>""
	""akawe"" ADVTmp
""<ninga-ningagwinjidoon>""
	""ningagwinjidoon"" PVTense/ga VTI Ind Pos Neu 1SgSubj 0SgObj
""<jibwaa-giizhizamaan>""
	""giizhizan"" PVTense/jibwaa VTI Cnj Pos Neu 1SgSubj 0SgObj
	""giizhizan"" PVTense/jibwaa VTI Cnj Pos Neu 1SgSubj 0PlObj
""<.>""
",
Niinetawind ningii-andomigoomin ji-izhaayaang iwidi odaakewigamigong.,We were the only ones they asked to go to the government building.,"""<ji-izhaayaang>""
	""izhaa"" PVTense/daa VAI Cnj Pos Neu ExclSubj
	""izhaa"" PVTense/ga VAI Cnj Pos Neu ExclSubj","""<niinetawind>""
	""niinetawind"" PRONPer
""<ningii-andomigoomin>""

""<ji-izhaayaang>""
	""izhaa"" PVTense/daa VAI Cnj Pos Neu ExclSubj
	""izhaa"" PVTense/ga VAI Cnj Pos Neu ExclSubj
""<iwidi>""
	""iwidi"" ADVLoc
""<odaakewigamigong>""

""<.>""
","""<niinetawind>""
	""niinetawind"" PRONPer
""<ningii-andomigoomin>""

""<ji-izhaayaang>""
	""izhaa"" PVTense/daa VAI Cnj Pos Neu ExclSubj
	""izhaa"" PVTense/ga VAI Cnj Pos Neu ExclSubj
""<iwidi>""
	""iwidi"" ADVLoc
""<odaakewigamigong>""

""<.>""
",
Bakaan gaye wiin odina'aan iwe nagamon gaa-noondang.,He sings that song different from the way he heard it.,"""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<nagamon>""
	""nagamo"" VAI Imp Sim 2SgSubj
	""nagamon"" NI Sg
""<gaa-noondang>""
	""noondam"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""noondan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""noondan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
	""noondam"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""noondam"" PVTense/gii VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead","""<bakaan>""
	""bakaan"" ADVMan
""<gaye>""
	""gaye"" ADVConj
""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<odina'aan>""
	""ina'an"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iwe>""

""<nagamon>""
	""nagamo"" VAI Imp Sim 2SgSubj
	""nagamon"" NI Sg
""<gaa-noondang>""
	""noondam"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""noondan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""noondan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
	""noondam"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""noondam"" PVTense/gii VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<.>""
","""<bakaan>""
	""bakaan"" ADVMan
""<gaye>""
	""gaye"" ADVConj
""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<odina'aan>""
	""ina'an"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iwe>""

""<nagamon>""
	""nagamo"" VAI Imp Sim 2SgSubj
	""nagamon"" NI Sg
""<gaa-noondang>""
	""noondam"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""noondan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""noondan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
	""noondam"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""noondam"" PVTense/gii VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<.>""
",
Ogii-pishigonaan iw owewebanaabaan gaa-onji-bakobiisenig.,His fishing pole fell in because it slipped out of his hands.,"""<ogii-pishigonaan>""
	""bishigon"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bishigon"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""bishigonan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-onji-bakobiisenig>""
	""PVRel/onji"" PVSub/gaa bakobiise VII Cnj Pos Neu 0PlObvSubj
	""PVRel/onji"" PVSub/gaa bakobiise VII Cnj Pos Neu 0SgObvSubj
	""PVRel/onji"" PVTense/gii bakobiise VII Pcp Pos Neu 0SgObvSubj 0SgObvHead","""<ogii-pishigonaan>""
	""bishigon"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bishigon"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""bishigonan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iw>""
	""iw"" PRONDem
""<owewebanaabaan>""
	""wewebanaabaan"" NI Sg 3SgProxPoss
""<gaa-onji-bakobiisenig>""
	""PVRel/onji"" PVSub/gaa bakobiise VII Cnj Pos Neu 0PlObvSubj
	""PVRel/onji"" PVSub/gaa bakobiise VII Cnj Pos Neu 0SgObvSubj
	""PVRel/onji"" PVTense/gii bakobiise VII Pcp Pos Neu 0SgObvSubj 0SgObvHead
""<.>""
","""<ogii-pishigonaan>""
	""bishigon"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bishigon"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""bishigonan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iw>""
	""iw"" PRONDem
""<owewebanaabaan>""
	""wewebanaabaan"" NI Sg 3SgProxPoss
""<gaa-onji-bakobiisenig>""
	""PVRel/onji"" PVSub/gaa bakobiise VII Cnj Pos Neu 0PlObvSubj
	""PVRel/onji"" PVSub/gaa bakobiise VII Cnj Pos Neu 0SgObvSubj
	""PVRel/onji"" PVTense/gii bakobiise VII Pcp Pos Neu 0SgObvSubj 0SgObvHead
""<.>""
",
Debinaak odizhitoon gaa-ozhitood wiigwaasinaagan.,She's  making that birch bark basket in a rough way.,"""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<gaa-ozhitood>""
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<odizhitoon>""
	""izhitoon"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-ozhitood>""
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<wiigwaasinaagan>""
	""wiigwaasinaagan"" NI Sg
""<.>""
","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<odizhitoon>""
	""izhitoon"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-ozhitood>""
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<wiigwaasinaagan>""
	""wiigwaasinaagan"" NI Sg
""<.>""
",
Agwanaatesidoon gimawinzwaanan jibwaa-baashkijiidegin.,Put your blueberries in the shade before they burst open from the sun.,"""<agwanaatesidoon>""
	""agwanaatesidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""agwanaatesidoon"" VTI Imp Sim 2SgSubj 0PlObj","""<agwanaatesidoon>""
	""agwanaatesidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""agwanaatesidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<gimawinzwaanan>""
	""mawinzwaan"" NI Pl 2SgPoss
""<jibwaa-baashkijiidegin>""
	""baashkijiide"" PVTense/jibwaa VII Cnj Pos Neu 0PlSubj
""<.>""
","""<agwanaatesidoon>""
	""agwanaatesidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""agwanaatesidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<gimawinzwaanan>""
	""mawinzwaan"" NI Pl 2SgPoss
""<jibwaa-baashkijiidegin>""
	""baashkijiide"" PVTense/jibwaa VII Cnj Pos Neu 0PlSubj
""<.>""
",
Nimbaninaan iwe onaagaans ezhi-biigosing.,I dropped the cup and it broke.,"""<onaagaans>""
	""onaagaans"" NI Sg
	""onaagan"" NI Dim Sg","""<nimbaninaan>""
	""baninan"" VTI Ind Pos Neu 1SgSubj 0SgObj
""<iwe>""

""<onaagaans>""
	""onaagaans"" NI Sg
	""onaagan"" NI Dim Sg
""<ezhi-biigosing>""
	""biigosin"" PVRel/izhi VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<nimbaninaan>""
	""baninan"" VTI Ind Pos Neu 1SgSubj 0SgObj
""<iwe>""

""<onaagaans>""
	""onaagaans"" NI Sg
	""onaagan"" NI Dim Sg
""<ezhi-biigosing>""
	""biigosin"" PVRel/izhi VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
Ogii'-agaashiinyi'aan gaa-gii'-ozhitamawaad odaminwaaganensan odaanisensan.,She  made the doll she made for her little daughter small.,"""<ogii'-agaashiinyi'aan>""
	""agaashiinyi'"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""agaashiinyi'"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<gaa-gii'-ozhitamawaad>""
	""PVTense/gii'"" PVSub/gaa ozhitamaw VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii'"" PVSub/gaa ozhitamaw VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<odaanisensan>""
	""daanis"" NAD Dim ObvSg 3SgProxPoss
	""daanis"" NAD Dim ObvPl 3SgProxPoss","""<ogii'-agaashiinyi'aan>""
	""agaashiinyi'"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""agaashiinyi'"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<gaa-gii'-ozhitamawaad>""
	""PVTense/gii'"" PVSub/gaa ozhitamaw VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii'"" PVSub/gaa ozhitamaw VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<odaminwaaganensan>""

""<odaanisensan>""
	""daanis"" NAD Dim ObvSg 3SgProxPoss
	""daanis"" NAD Dim ObvPl 3SgProxPoss
""<.>""
","""<ogii'-agaashiinyi'aan>""
	""agaashiinyi'"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""agaashiinyi'"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<gaa-gii'-ozhitamawaad>""
	""PVTense/gii'"" PVSub/gaa ozhitamaw VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii'"" PVSub/gaa ozhitamaw VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<odaminwaaganensan>""

""<odaanisensan>""
	""daanis"" NAD Dim ObvSg 3SgProxPoss
	""daanis"" NAD Dim ObvPl 3SgProxPoss
""<.>""
",
Mishawaagonag odizhiweba'aan bikwaakwadoons.,He hit his (golf)ball right out on a field of snow,"""<bikwaakwadoons>""
	""bikwaakwadoons"" NI Sg
	""bikwaakwad"" NI Dim Sg","""<mishawaagonag>""
	""mishawaagonag"" ADVLoc
""<odizhiweba'aan>""
	""izhiweba'an"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<bikwaakwadoons>""
	""bikwaakwadoons"" NI Sg
	""bikwaakwad"" NI Dim Sg
""<.>""
","""<mishawaagonag>""
	""mishawaagonag"" ADVLoc
""<odizhiweba'aan>""
	""izhiweba'an"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<bikwaakwadoons>""
	""bikwaakwadoons"" NI Sg
	""bikwaakwad"" NI Dim Sg
""<.>""
",
Gijibidoon 'iw gimookomaanens.,Pull out your knife.,"""<gijibidoon>""
	""gijibidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""gijibidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<gimookomaanens>""
	""mookomaanens"" NI Sg 2SgPoss
	""mookomaan"" NI Dim Sg 2SgPoss","""<gijibidoon>""
	""gijibidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""gijibidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<'iw>""

""<gimookomaanens>""
	""mookomaanens"" NI Sg 2SgPoss
	""mookomaan"" NI Dim Sg 2SgPoss
""<.>""
","""<gijibidoon>""
	""gijibidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""gijibidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<'iw>""

""<gimookomaanens>""
	""mookomaanens"" NI Sg 2SgPoss
	""mookomaan"" NI Dim Sg 2SgPoss
""<.>""
",
Ogii-saagijinizhikawaan iniw abinoonjiiyan neshiwanaadakamigizinid.,She chased the disorderly child outside.,"""<ogii-saagijinizhikawaan>""
	""zaagijinizhikaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""zaagijinizhikaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj","""<ogii-saagijinizhikawaan>""
	""zaagijinizhikaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""zaagijinizhikaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<abinoonjiiyan>""

""<neshiwanaadakamigizinid>""

""<.>""
","""<ogii-saagijinizhikawaan>""
	""zaagijinizhikaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""zaagijinizhikaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<abinoonjiiyan>""

""<neshiwanaadakamigizinid>""

""<.>""
",
Aabitoobii 'i mazhoominaaboo imaa omoodayaabikong.,That bottle is half full with wine.,"""<aabitoobii>""
	""aabitoobii"" VAI Ind Pos Neu 3SgProxSubj
	""aabitoobii"" VII Ind Pos Neu 0SgSubj","""<aabitoobii>""
	""aabitoobii"" VAI Ind Pos Neu 3SgProxSubj
	""aabitoobii"" VII Ind Pos Neu 0SgSubj
""<'i>""

""<mazhoominaaboo>""
	""mazhoominaaboo"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<omoodayaabikong>""
	""omoodayaabik"" NI Loc
""<.>""
","""<aabitoobii>""
	""aabitoobii"" VAI Ind Pos Neu 3SgProxSubj
	""aabitoobii"" VII Ind Pos Neu 0SgSubj
""<'i>""

""<mazhoominaaboo>""
	""mazhoominaaboo"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<omoodayaabikong>""
	""omoodayaabik"" NI Loc
""<.>""
",
Ingii-moona'waag mooseg gaa-ishkwaa-gimiwang.,I dug worms after it rained.,"""<ingii-moona'waag>""
	""moona'wi"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3PlProxObj
	""moona'"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3PlProxObj
""<gaa-ishkwaa-gimiwang>""
	""PVLex/ishkwaa"" PVSub/gaa gimiwan VII Cnj Pos Neu 0SgSubj
	""PVLex/ishkwaa"" PVSub/gaa gimiwan VII Cnj Pos Neu 0PlSubj
	""PVLex/ishkwaa"" PVTense/gii gimiwan VII Pcp Pos Neu 0SgSubj 0SgHead","""<ingii-moona'waag>""
	""moona'wi"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3PlProxObj
	""moona'"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3PlProxObj
""<mooseg>""
	""moose"" NA ProxPl
""<gaa-ishkwaa-gimiwang>""
	""PVLex/ishkwaa"" PVSub/gaa gimiwan VII Cnj Pos Neu 0SgSubj
	""PVLex/ishkwaa"" PVSub/gaa gimiwan VII Cnj Pos Neu 0PlSubj
	""PVLex/ishkwaa"" PVTense/gii gimiwan VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<ingii-moona'waag>""
	""moona'wi"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3PlProxObj
	""moona'"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3PlProxObj
""<mooseg>""
	""moose"" NA ProxPl
""<gaa-ishkwaa-gimiwang>""
	""PVLex/ishkwaa"" PVSub/gaa gimiwan VII Cnj Pos Neu 0SgSubj
	""PVLex/ishkwaa"" PVSub/gaa gimiwan VII Cnj Pos Neu 0PlSubj
	""PVLex/ishkwaa"" PVTense/gii gimiwan VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
Iwidi neyaashiing gii-ondaasin owe jiimaan gaa-agwaayaasing.,The canoe that blew ashore came from the point,"""<gaa-agwaayaasing>""
	""agwaayaasin"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""agwaayaasin"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""agwaayaasin"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead","""<iwidi>""
	""iwidi"" ADVLoc
""<neyaashiing>""
	""neyaashi"" NI Loc
""<gii-ondaasin>""
	""ondaasin"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<owe>""
	""owe"" PRONDem
""<jiimaan>""
	""jiimaan"" NI Sg
""<gaa-agwaayaasing>""
	""agwaayaasin"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""agwaayaasin"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""agwaayaasin"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<iwidi>""
	""iwidi"" ADVLoc
""<neyaashiing>""
	""neyaashi"" NI Loc
""<gii-ondaasin>""
	""ondaasin"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<owe>""
	""owe"" PRONDem
""<jiimaan>""
	""jiimaan"" NI Sg
""<gaa-agwaayaasing>""
	""agwaayaasin"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""agwaayaasin"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""agwaayaasin"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
Giiwedinong ondaasin gaa-onji-gisinaag.,Cold winds blow from the north.,"""<gaa-onji-gisinaag>""
	""PVRel/onji"" PVSub/gaa gisinaa VII Cnj Pos Neu 0SgSubj
	""PVRel/onji"" PVSub/gaa gisinaa VII Cnj Pos Neu 0PlSubj
	""PVRel/onji"" PVTense/gii gisinaa VII Pcp Pos Neu 0SgSubj 0SgHead","""<giiwedinong>""
	""giiwedin"" NI Loc
""<ondaasin>""
	""ondaasin"" VII Ind Pos Neu 0SgSubj
""<gaa-onji-gisinaag>""
	""PVRel/onji"" PVSub/gaa gisinaa VII Cnj Pos Neu 0SgSubj
	""PVRel/onji"" PVSub/gaa gisinaa VII Cnj Pos Neu 0PlSubj
	""PVRel/onji"" PVTense/gii gisinaa VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<giiwedinong>""
	""giiwedin"" NI Loc
""<ondaasin>""
	""ondaasin"" VII Ind Pos Neu 0SgSubj
""<gaa-onji-gisinaag>""
	""PVRel/onji"" PVSub/gaa gisinaa VII Cnj Pos Neu 0SgSubj
	""PVRel/onji"" PVSub/gaa gisinaa VII Cnj Pos Neu 0PlSubj
	""PVRel/onji"" PVTense/gii gisinaa VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
