ojibwe,english,word_with_ambiguity,fst_readings
Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.,Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.,"{'word_form': 'niningwan', 'fst_analyses': ['ningwano+VAI+Ind+Pos+Neu+1SgSubj', 'ningwan+NAD+ProxSg+1SgPoss']}","[{'word_form': 'indaga', 'fst_analyses': ['indaga+PCDisc']}, {'word_form': 'dawinamaw', 'fst_analyses': []}, {'word_form': ""'iw"", 'fst_analyses': []}, {'word_form': ""desa'on"", 'fst_analyses': [""desa'on+NI+Sg""]}, {'word_form': 'aw', 'fst_analyses': ['aw+PRONDem']}, {'word_form': 'niningwan', 'fst_analyses': ['ningwano+VAI+Ind+Pos+Neu+1SgSubj', 'ningwan+NAD+ProxSg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'ge-izhi-bagidoomaad', 'fst_analyses': []}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]"
Odazhiikawaan iniw waawaashkeshiwan gaa-paashkizwaad.,He's working on the deer he shot.,"{'word_form': 'odazhiikawaan', 'fst_analyses': ['dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'odazhiikawaan', 'fst_analyses': ['dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': 'gaa-paashkizwaad', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Onandawaabamaan iniw gaa-maakinawaad waawaashkeshiwan.,He's looking for the deer he wounded.,"{'word_form': 'onandawaabamaan', 'fst_analyses': ['andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'onandawaabamaan', 'fst_analyses': ['andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'gaa-maakinawaad', 'fst_analyses': ['PVSub/gaa+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVSub/gaa+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]"
Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.,He's not able to drive a car anymore because he can't see very well.,"{'word_form': ""ogashki'aasiin"", 'fst_analyses': [""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj"", ""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj""]}","[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'geyaabi', 'fst_analyses': ['geyaabi+ADVTmp']}, {'word_form': ""ogashki'aasiin"", 'fst_analyses': [""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj"", ""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj""]}, {'word_form': ""ji-bimibizo'aad"", 'fst_analyses': [""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'odaabaanan;', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'zaabaabisii', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Babiiskijiitaa babaa-ayaad.,It wiggles up and down as it moves around.,"{'word_form': 'babaa-ayaad', 'fst_analyses': ['babaa-ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVDir/babaa+ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}","[{'word_form': 'babiiskijiitaa', 'fst_analyses': ['babiiskijiitaa+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'babaa-ayaad', 'fst_analyses': ['babaa-ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVDir/babaa+ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gego bimibatwaadangen gibaashkizigan.,Don't run with your gun.,"{'word_form': 'bimibatwaadangen', 'fst_analyses': ['bimibatwaadan+VTI+Imp+Prb+2SgSubj+0PlObj', 'bimibatwaadan+VTI+Imp+Prb+2SgSubj+0SgObj']}","[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'bimibatwaadangen', 'fst_analyses': ['bimibatwaadan+VTI+Imp+Prb+2SgSubj+0PlObj', 'bimibatwaadan+VTI+Imp+Prb+2SgSubj+0SgObj']}, {'word_form': 'gibaashkizigan', 'fst_analyses': ['baashkizigan+NI+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Waawaabiganoojiinyan naa oniimamaan a'a gaazhagenzhish,That old cat has got a mouse in her mouth.,"{'word_form': 'waawaabiganoojiinyan', 'fst_analyses': ['waawaabiganoojiinh+NA+ObvPl', 'waawaabiganoojiinh+NA+ObvSg']}","[{'word_form': 'waawaabiganoojiinyan', 'fst_analyses': ['waawaabiganoojiinh+NA+ObvPl', 'waawaabiganoojiinh+NA+ObvSg']}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': 'oniimamaan', 'fst_analyses': ['niimam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'niimam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': ""a'a"", 'fst_analyses': [""a'a+PRONDem""]}, {'word_form': 'gaazhagenzhish', 'fst_analyses': ['gaazhagens+NA+Pej+ProxSg']}]"
Wiisakwemagad odaabaan bimibideg miikanaang.,The car screeches going by on the road.,"{'word_form': 'odaabaan', 'fst_analyses': ['odaabaan+NA+ProxSg', 'odaabaan+NI+Sg']}","[{'word_form': 'wiisakwemagad', 'fst_analyses': ['wiisakwe+VAI+Der/magad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'odaabaan', 'fst_analyses': ['odaabaan+NA+ProxSg', 'odaabaan+NI+Sg']}, {'word_form': 'bimibideg', 'fst_analyses': ['bimibide+VII+Cnj+Pos+Neu+0SgSubj', 'bimibide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': 'miikanaang', 'fst_analyses': ['miikana+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Aazhawikana odanimiwinaan iniw maanishtaanishan.,He's taking the sheep across the road.,"{'word_form': 'odanimiwinaan', 'fst_analyses': ['animiwizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'animiwizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'aazhawikana', 'fst_analyses': ['aazhawikana+ADVLoc']}, {'word_form': 'odanimiwinaan', 'fst_analyses': ['animiwizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'animiwizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'maanishtaanishan', 'fst_analyses': ['maanishtaanish+NA+ObvPl', 'maanishtaanish+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]"
Mii iwidi aazhawikana gaa-inaagoned.,He trudged across the road through the snow.,"{'word_form': 'gaa-inaagoned', 'fst_analyses': ['PVSub/gaa+inaagone+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+inaagone+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'aazhawikana', 'fst_analyses': ['aazhawikana+ADVLoc']}, {'word_form': 'gaa-inaagoned', 'fst_analyses': ['PVSub/gaa+inaagone+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+inaagone+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]"
Diba'iganaatig omaa bimaakosidoon.,Lay the yardstick here.,"{'word_form': 'bimaakosidoon', 'fst_analyses': ['bimaakosidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'bimaakosidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': ""diba'iganaatig"", 'fst_analyses': []}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'bimaakosidoon', 'fst_analyses': ['bimaakosidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'bimaakosidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-paakaakosin i'iw waasechigan gabe-dibik. Gii-piindigese a'aw obikwaanaajiinh.,The window was left open all night and the bat flew in.,"{'word_form': 'gabe-dibik', 'fst_analyses': ['gabe-dibik+ADVTmp', 'PVLex/gabe+dibik+ADVTmp']}","[{'word_form': 'gii-paakaakosin', 'fst_analyses': ['PVTense/gii+baakaakosin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem""]}, {'word_form': 'waasechigan', 'fst_analyses': ['waasechigan+NI+Sg']}, {'word_form': 'gabe-dibik', 'fst_analyses': ['gabe-dibik+ADVTmp', 'PVLex/gabe+dibik+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gii-piindigese', 'fst_analyses': ['PVTense/gii+biindigese+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/gii+biindigese+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem""]}, {'word_form': 'obikwaanaajiinh', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Baakibidoon waasechigan.,Pull the window open.,"{'word_form': 'baakibidoon', 'fst_analyses': ['baakibidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'baakibidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'baakibidoon', 'fst_analyses': ['baakibidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'baakibidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'waasechigan', 'fst_analyses': ['waasechigan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Ani-gashkiidibikak gidaa-gibiiga'aanaan giwaasechiganan.,As it gets dark you should close the curtains on the windows.,"{'word_form': 'ani-gashkiidibikak', 'fst_analyses': ['PVDir/ani+gashkiidibikad+VII+Cnj+Pos+Neu+0SgSubj', 'PVDir/ani+gashkiidibikad+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'ani-gashkiidibikak', 'fst_analyses': ['PVDir/ani+gashkiidibikad+VII+Cnj+Pos+Neu+0SgSubj', 'PVDir/ani+gashkiidibikad+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': ""gidaa-gibiiga'aanaan"", 'fst_analyses': []}, {'word_form': 'giwaasechiganan', 'fst_analyses': ['waasechigan+NI+Pl+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Ingii-piidoon ingo-minikwaajigan iwe waasamoo-bimide.,I brought one gallon of gas.,"{'word_form': 'ingo-minikwaajigan', 'fst_analyses': ['PNQnt/ingo+minikwaajigan+NI+Sg', 'ingo-minikwaajigan+NUM', 'PVQnt/ingo+minikwaajigan+ADVQnt']}","[{'word_form': 'ingii-piidoon', 'fst_analyses': ['PVTense/gii+biidoon+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'ingo-minikwaajigan', 'fst_analyses': ['PNQnt/ingo+minikwaajigan+NI+Sg', 'ingo-minikwaajigan+NUM', 'PVQnt/ingo+minikwaajigan+ADVQnt']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'waasamoo-bimide', 'fst_analyses': ['waasamoo-bimide+NI+Sg', 'PNLex/waasamoo+bimide+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
