ojibwe,english,fst_readings,speaker
Gii-aazhawibizo imaa eshpaanig aazhogan.,He drove across the high bridge.,"[{'word_form': 'gii-aazhawibizo', 'fst_analyses': ['PVTense/gii+aazhawibizo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'eshpaanig', 'fst_analyses': ['ishpaa+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead']}, {'word_form': 'aazhogan', 'fst_analyses': ['aazhogan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",es
Gidanoonigoo ji-o-wiindaman i'iw oshki-aazhogan.,You have been hired to go name the new bridge.,"[{'word_form': 'gidanoonigoo', 'fst_analyses': ['anoozh+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'anoozh+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']}, {'word_form': 'ji-o-wiindaman', 'fst_analyses': ['PVTense/daa+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj', 'PVTense/ga+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj', 'PVTense/daa+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj', 'PVTense/ga+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem+NI+Sg""]}, {'word_form': 'oshki-aazhogan', 'fst_analyses': ['PNLex/oshki+aazhogan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",es
Ogotaan ji-aazhawishkang iwe gete-aazhoganish.,He's afraid to cross that old bridge.,"[{'word_form': 'ogotaan', 'fst_analyses': ['gotan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ji-aazhawishkang', 'fst_analyses': []}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': 'gete-aazhoganish', 'fst_analyses': ['PNLex/gete+aazhogan+NI+Pej+Sg']}, {'word_form': '.', 'fst_analyses': []}]",es
Dabasaakosin aazhogan Gichi-mookomaanakiing gaa-izhi-aazhawamog. Zhaaganaashiiwakiing onji-maadamon.,The bridge going across to the US is a low one. It starts in Canada.,"[{'word_form': 'dabasaakosin', 'fst_analyses': ['dabasaakosin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'aazhogan', 'fst_analyses': ['aazhogan+NI+Sg']}, {'word_form': 'gichi-mookomaanakiing', 'fst_analyses': []}, {'word_form': 'gaa-izhi-aazhawamog', 'fst_analyses': ['PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/izhi+aazhawamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'zhaaganaashiiwakiing', 'fst_analyses': ['zhaaganaashiiwaki+NI+Loc']}, {'word_form': 'onji-maadamon', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Mii go imaa godagiing gaa-pabaamanokiid 'aw gwiiwizens.,The boy worked around the neighborhood.,"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'godagiing', 'fst_analyses': ['godagii+VAI+Cnj+Pos+Neu+XSubj']}, {'word_form': 'gaa-pabaamanokiid', 'fst_analyses': ['PVTense/gii+babaamanokii+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'aw', 'fst_analyses': ['aw+PRONDem+NA+ProxSg']}, {'word_form': 'gwiiwizens', 'fst_analyses': ['gwiiwizens+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]",es
Gii-aatawesewan ini waasigani-waaz... waazakonenjiganan wenji-gashkii-dibikateg.,The electric lights went out and that's why it got dark all of a sudden.,"[{'word_form': 'gii-aatawesewan', 'fst_analyses': ['PVTense/gii+aatawese+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NI+Pl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NA+ObvPl']}, {'word_form': 'waasigani-waaz', 'fst_analyses': []}, {'word_form': '...', 'fst_analyses': []}, {'word_form': 'waazakonenjiganan', 'fst_analyses': ['waazakonenjigan+NI+Pl']}, {'word_form': 'wenji-gashkii-dibikateg', 'fst_analyses': ['PVRel/onji+gashkii-dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVRel/onji+PVLex/gashkii+dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]",es
Giizhaa ningii-ozhiitaa wii'-ando-bimaagimoseyaan waabang.,I prepared beforehand to go snowshoeing tomorrow.,"[{'word_form': 'giizhaa', 'fst_analyses': ['giizhaa+ADVTmp']}, {'word_form': 'ningii-ozhiitaa', 'fst_analyses': ['PVTense/gii+ozhiitaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': ""wii'-ando-bimaagimoseyaan"", 'fst_analyses': [""PVTense/wii'+PVLex/ando+bimaagimose+VAI+Cnj+Pos+Neu+1SgSubj""]}, {'word_form': 'waabang', 'fst_analyses': ['waaban+VII+Cnj+Pos+Neu+0SgSubj', 'waaban+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gii-mashkawichigaazo 'aw aazhideyaatig gaa-padakinind.,They strengthened the cross they erected.,"[{'word_form': 'gii-mashkawichigaazo', 'fst_analyses': []}, {'word_form': 'aw', 'fst_analyses': ['aw+PRONDem+NA+ProxSg']}, {'word_form': 'aazhideyaatig', 'fst_analyses': ['aazhideyaatig+NA+ProxSg']}, {'word_form': 'gaa-padakinind', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Gii-sagaakwa'igaazo awe gizhe-manidoo imaa aazhideyaatigong.,They nailed Jesus to the cross.,"[{'word_form': ""gii-sagaakwa'igaazo"", 'fst_analyses': [""PVTense/gii+zagaakwa'igaazo+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'gizhe-manidoo', 'fst_analyses': ['gizhe-manidoo+NA+ProxSg']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'aazhideyaatigong', 'fst_analyses': ['aazhideyaatig+NA+Loc']}, {'word_form': '.', 'fst_analyses': []}]",es
Gaawiin gegoo gii-inamanjigesii aana-gii-izhinizha'ond iwidi Waashtanong.,She didn't have any idea she was being sent to Washington.,"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf+NI']}, {'word_form': 'gii-inamanjigesii', 'fst_analyses': []}, {'word_form': ""aana-gii-izhinizha'ond"", 'fst_analyses': [""PVTense/aana+PVTense/gii+izhinizha'wi+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj"", ""PVTense/aana+PVTense/gii+izhinizha'+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj""]}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'waashtanong', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Gii-pabiiwishkam awe waawaashkeshi gaa-... gaa-pima'anag.,The deer I tracked had small tracks.,"[{'word_form': 'gii-pabiiwishkam', 'fst_analyses': []}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'waawaashkeshi', 'fst_analyses': ['waawaashkeshi+NA+ProxSg']}, {'word_form': 'gaa-', 'fst_analyses': ['PVSub/gaa+', 'PVTense/gii+']}, {'word_form': '...', 'fst_analyses': []}, {'word_form': ""gaa-pima'anag"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.,Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.,"[{'word_form': 'indaga', 'fst_analyses': ['indaga+PCDisc']}, {'word_form': 'dawinamaw', 'fst_analyses': []}, {'word_form': 'iw', 'fst_analyses': ['iw+PRONDem+NI+Sg']}, {'word_form': ""desa'on"", 'fst_analyses': [""desa'on+NI+Sg""]}, {'word_form': 'aw', 'fst_analyses': ['aw+PRONDem+NA+ProxSg']}, {'word_form': 'niningwan', 'fst_analyses': ['ningwano+VAI+Ind+Pos+Neu+1SgSubj', 'ningwan+NAD+ProxSg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'ge-izhi-bagidoomaad', 'fst_analyses': []}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NI+Pl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NA+ObvPl']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]",es
Odazhiikawaan iniw waawaashkeshiwan gaa-paashkizwaad.,He's working on the deer he shot.,"[{'word_form': 'odazhiikawaan', 'fst_analyses': ['dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NI+Pl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NA+ObvPl']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': 'gaa-paashkizwaad', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Onandawaabamaan iniw gaa-maakinawaad waawaashkeshiwan.,He's looking for the deer he wounded.,"[{'word_form': 'onandawaabamaan', 'fst_analyses': ['andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NI+Pl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NA+ObvPl']}, {'word_form': 'gaa-maakinawaad', 'fst_analyses': ['PVSub/gaa+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVSub/gaa+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]",es
Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.,He's not able to drive a car anymore because he can't see very well.,"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'geyaabi', 'fst_analyses': ['geyaabi+ADVTmp']}, {'word_form': ""ogashki'aasiin"", 'fst_analyses': [""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj"", ""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj""]}, {'word_form': ""ji-bimibizo'aad"", 'fst_analyses': [""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'odaabaanan', 'fst_analyses': ['odaabaan+NA+ObvPl', 'odaabaan+NA+ObvSg', 'odaabaan+NI+Pl']}, {'word_form': ';', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'zaabaabisii', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Babiiskijiitaa babaa-ayaad.,It wiggles up and down as it moves around.,"[{'word_form': 'babiiskijiitaa', 'fst_analyses': ['babiiskijiitaa+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'babaa-ayaad', 'fst_analyses': ['babaa-ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVDir/babaa+ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gego bimibatwaadangen gibaashkizigan.,Don't run with your gun.,"[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'bimibatwaadangen', 'fst_analyses': ['bimibatwaadan+VTI+Imp+Prb+2SgSubj+0PlObj', 'bimibatwaadan+VTI+Imp+Prb+2SgSubj+0SgObj']}, {'word_form': 'gibaashkizigan', 'fst_analyses': ['baashkizigan+NI+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]",nj
Anaamisag dazhewag waawaabiganoojiinyag.,Mice nest under the floor.,"[{'word_form': 'anaamisag', 'fst_analyses': ['anaamisag+ADVLoc']}, {'word_form': 'dazhewag', 'fst_analyses': ['dazhe+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'waawaabiganoojiinyag', 'fst_analyses': ['waawaabiganoojiinh+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]",nj
Waawaabiganoojiinyan naa oniimamaan a'a gaazhagenzhish,That old cat has got a mouse in her mouth.,"[{'word_form': 'waawaabiganoojiinyan', 'fst_analyses': ['waawaabiganoojiinh+NA+ObvPl', 'waawaabiganoojiinh+NA+ObvSg']}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': 'oniimamaan', 'fst_analyses': ['niimam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'niimam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': ""a'a"", 'fst_analyses': [""a'a+PRONDem+NA+ProxSg""]}, {'word_form': 'gaazhagenzhish', 'fst_analyses': ['gaazhagens+NA+Pej+ProxSg']}]",es
Wiisakwemagad odaabaan bimibideg miikanaang.,The car screeches going by on the road.,"[{'word_form': 'wiisakwemagad', 'fst_analyses': ['wiisakwe+VAI+Der/magad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'odaabaan', 'fst_analyses': ['odaabaan+NA+ProxSg', 'odaabaan+NI+Sg']}, {'word_form': 'bimibideg', 'fst_analyses': ['bimibide+VII+Cnj+Pos+Neu+0SgSubj', 'bimibide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': 'miikanaang', 'fst_analyses': ['miikana+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]",rg
Zhigwa gii-pimibide 'iw abinoonjiinhwidaabaan.,The schoolbus already went by.,"[{'word_form': 'zhigwa', 'fst_analyses': ['zhigwa+ADVTmp']}, {'word_form': 'gii-pimibide', 'fst_analyses': ['PVTense/gii+bimibide+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iw', 'fst_analyses': ['iw+PRONDem+NI+Sg']}, {'word_form': 'abinoonjiinhwidaabaan', 'fst_analyses': ['abinoonjiinhwidaabaan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",es
Ningii-minikwen waashkobaagamig.,I drank some pop.,"[{'word_form': 'ningii-minikwen', 'fst_analyses': ['PVTense/gii+minikwen+VAIO+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'waashkobaagamig', 'fst_analyses': ['wiishkobaagamin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]",rg
Aazhawikana odanimiwinaan iniw maanishtaanishan.,He's taking the sheep across the road.,"[{'word_form': 'aazhawikana', 'fst_analyses': ['aazhawikana+ADVLoc']}, {'word_form': 'odanimiwinaan', 'fst_analyses': ['animiwizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'animiwizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NI+Pl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NA+ObvPl']}, {'word_form': 'maanishtaanishan', 'fst_analyses': ['maanishtaanish+NA+ObvPl', 'maanishtaanish+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]",es
Mii iwidi aazhawikana gaa-inaagoned.,He trudged across the road through the snow.,"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'aazhawikana', 'fst_analyses': ['aazhawikana+ADVLoc']}, {'word_form': 'gaa-inaagoned', 'fst_analyses': ['PVSub/gaa+inaagone+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+inaagone+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",es
Diba'iganaatig omaa bimaakosidoon.,Lay the yardstick here.,"[{'word_form': ""diba'iganaatig"", 'fst_analyses': []}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'bimaakosidoon', 'fst_analyses': ['bimaakosidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'bimaakosidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]",es
Aabiji-waasamoog igiweg manidoog ba-ayaawaad.,The manitous coming are continuously flashing lightning,"[{'word_form': 'aabiji-waasamoog', 'fst_analyses': ['PVLex/aabiji+waasamoog+VAIPL+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'manidoog', 'fst_analyses': ['manidoo+NA+ProxPl']}, {'word_form': 'ba-ayaawaad', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Indigo naage gii-waasikwiingwe wa'awe. Giminikwe ina.,It looks like this one got shiny-faced. Are you drinking?,"[{'word_form': 'indigo', 'fst_analyses': ['indigo+ADVMan']}, {'word_form': 'naage', 'fst_analyses': ['naage+ADVTmp']}, {'word_form': 'gii-waasikwiingwe', 'fst_analyses': ['PVTense/gii+waasikwiingwe+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""wa'awe"", 'fst_analyses': [""wa'awe+PRONDem+NA+ProxSg""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'giminikwe', 'fst_analyses': ['minikwen+VAIO+Ind+Pos+Neu+2SgSubj', 'minikwe+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': 'ina', 'fst_analyses': ['ina+PCDisc']}, {'word_form': '.', 'fst_analyses': []}]",es
