Ojibwe,English,Speaker,Audio Link
Weweni bimibatoon. Giga-bakiteshin.,Run slowly. You might fall.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/weweni__av_ex__rg68339_0.mp4
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/odaanaang___ex105__nj520037_0.mp4
Opimeyaya'ii miikanaang bimibatoo a'aw bebezhigooganzhii.,The horse is running along on the side of the road.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/opimeyaya_ii__av_ex__rg68343add_0.mp4
Wii-pimibatoo wii-ishpabid imaa zagaswe'idiiwining.,He wants to run for chairmanship in the tribal council.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimibatoo__ai_ex__sp65549ad_0.mp4
Mii 'i zhigwa ani-gashkiidibikak, giiyaabi go waasete abiiwigamig.,It's getting dark but it is still light in the living room.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasete__ii_ex__sp65910_0.mp4
Zhebaa ingii-pi-aazhoge'adoo. Ishkwaa-naawakweg niwii'-ani-aazhoge'adoo.,This morning I came across the bridge. This afternoon I'm going back across the bridge.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhoge_adoo___ex105__nj593020.mp4
Gii-aazhawishkaawaad imaa ziibiinsing gii-pimaadagaaziiwag.,When they crossed the stream, they waded through the water.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimaadagaazii__ai_ex__sp65509_0.mp4
Ogii-aazhawishimaan ini nabagisagoon omaa daashkikwadininig gaa-onji-aazhawishkaad.,He put the board across the crack in the ice -- that's how he got across.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/daashkikwadin__ii_ex__sp65565_0.mp4
Ogii-kibishkaan iwe miikana awe gaag gii-megwaa-aazhawishkaad.,That porcupine kind of blocked the road as he crossed it.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaag___ex49__es564160.mp4
Giishpin Jason de-diba'ang waasigani-bimide, waabang da-bagamibizo.,If Jason has enough money to buy gas, he'll be arriving tomorrow.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bagamibizo___ex71__nj526001.mp4
Boozaabikinigan ginigawinan waasigani-bimideng.,Mix the oil into the gas.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/boozaabikinigan___ex106__nj61131102.mp4
Wiin obimibizoni'aan iniw daashkiboojiganan.,He is operating the sawmill.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimibizoni___ta_ex__sp66470.mp4
Aandi endazhi-aazhidebii'igeng. | Ganabaj imaa gichi-waakaa'iganing.,Where is the voting going to take place? | I think it's in the main building.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhidebii_ige___ex55__nj591020.mp4
Niyaazhawisidoon i'iw nibabagiwayaaniigin imaa adoopowinaakong.,I'm laying my fabric across the table.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhawisidoon__ti2_ex__sp65565_0.mp4
Agwaase mikwam gii-babaamaa'ogod gii-ziigwang.,The ice comes up on shore when it drifts around in the spring.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/agwaase___ex120__nj594135.mp4
Ogii-mayagipwaan iniwen waakoonsi-bakwezhiganan gaa-amwaad.,That fish-egg bread that he ate tasted strange to him.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mayagipo__ta_ex__sp67937_0.mp4
Waakwaandesiing dananjigedaa.,Let's eat across from the doorway,,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/waakwaandesiing___ex54__nj520014_0.mp4
Waakwaandesiing niin niwii'-ondab.,I want to sit at the end of the lodge.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/waakwaandesiing___ex203__nj520052.mp4
Waasaakwanjigewag waaboozoog. Mii omaa ge-izhi-agoodooyang.,Rabbits chewed the sticks bare. We'll set our snares here.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasaakwanjige___ex117__nj611445.mp4
Mii go naa ezhi-bimaanimak omaa.,There is a draft here.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimaanimad__ii_ex__sp65212_0.mp4
Ogii-kwekishimaan ini bashkweginoon. Ogii-aazhigijishimaan.,He changed the position of the hide. He turned it over on its back.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhigijishim__ta_ex__sp66545_0.mp4
Ogidibiig babaamaadagewag omashkoziisiwag,The black bugs swim about on top of the water.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ogidibiig___ex182__nj520047.mp4
Naazibiiwidoon waasigani-bimide-atoobaanan.,Take the gas tanks down to the lake.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/naazibiiwidoon___ex68__nj524010.mp4
Gii-mizhakiise iwe waasigan.,The lightning hit the ground.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mizhakiise__ii_ex__sp66924alt_0.mp4
Wawiinge gichi-bagakaatese iwe waasigan.,That lightning flash was really bright.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasigan__ni_ex__sp67669_0.mp4
Waasawad iwidi waa-inaazhagaameyaan owe zaaga'igan.,The lake where I am going to go along the shore is a long ways from here.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasawad__ii_ex__sp67673_0.mp4
Apane mooshkinebadoon waasigani-bimide-biiwaabik.,Always keep your gas can full.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/mooshkinebadoon___ex65__nj61130510.mp4
Ziikobiigisidoon waasigani-bimide-biiwaabik.,Drain the jerry can out.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ziikoobiigisidoon___ex34__nj521050.mp4
Migoshkaajise awe waasamoowidaabaan aana-gii-adaaweyaan.,That car I bought has a lot of problems.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasamoowidaabaan__na_ex__sp67669_0.mp4
Nindaakoz naa. Niwaanda-wiisagine naa.,I'm so sick I'm just hurting.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiisagine__ai_ex__rg68354_0.mp4
Waanda-wiinabiwag naa igi ikwewag.,Those ladies have a really dirty house.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiinabi__ai_ex__rg68370_0.mp4
Baaka'aakwenhwigamigoonsing iwidi apane owi-asiginang iniw waawanoon.,He went to the chicken coop to gather up the eggs.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/asiginan__ti1_ex__sp67228_0.mp4
Ingii-pawaadaan babaamaashiyaan giizhigong.,I dreamed I was soaring around in the sky.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bawaadan__ti1_ex__sp65406_0.mp4
Ogii-kwekinaan aana-gii-nanaa'isijigaadenig 'i waasechiganaabik.,He turned around the glass pane they had set.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gwekinan__ti1_ex__sp67048_0.mp4
Ogii-paasibidoon 'iw waasechiganaabik.,He broke the windowpane.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/baasibidoon__ti2_ex__sp65742_0.mp4
Gabe-dibik gii-ondendiwag igiw gaa-waaswaawaad.,The torchers were gone all night.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waaswaa__ai_ex__sp65906_0.mp4
Ningii-wanitoon niwaazakonebijigan wii-aabajitooyaan wii-waaswaayaan.,I've lost the flashlight I wanted to use torching.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/waazakonebijigan__ni_ex__rg68127_0.mp4
Bijiinag naagaj waaswaakang: onzaam oshki-dibikad.,We'll go shining later because it's too early in the night.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/oshki-dibikad__ii_ex__sp65978_0.mp4
Mii go ge ezhi-zikwaadang waasikwa'ang iniw omakizinan.,He is also spit-shining his shoes.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasikwa___ta_ex__sp67671_0.mp4
Ningii-pawaanig ningoding ji-aazhawinamawag anishinaabe-wiinzowin.,She dreamt of me passing my spirit name on to her.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/anishinaabe-wiinzowin___ex150__nj611451.mp4
Gii-pangishin babaamaandawed awe abinoonjiinh.,The child fell off while climbing around.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bangishin___ex26__es562105.mp4
Ogii-aazhawishimaan ini nabgisagoon imaa daashkikwadininig gaa-onji-aazhawishkaad.,He put the board across the crack in the ice -- that's how he got across.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhawishim__ta_ex__sp65565_0.mp4
Biichaa ezhaayin. Indawaaj bimibizon.,You're going to go a long ways. Why don't you ride?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimibizo__ai_ex__sp65511_0.mp4
Odaana-gii-wewebiniketawaan aana-wii-noogibinaad iniwen gaa-bimibizonid.,She tried waving his arms at the driver to stop him.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wewebiniketaw__ta_ex__sp67682_0.mp4
Bekaa bimibizon gaa-gikendanziwan zaaga'igan. Maagizhaa giga-bitaabikishin,Go slow when you don't know the lake. You might hit a reef.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimibizo___ex43__nj61130507.mp4
Weweni bimibizon. Ozhaashaagonagaa miikana.,Drive carefully. The road is slippery from the snow.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozhaashaagonagaa___ex107__nj529092.mp4
Awasinaago ningii'-ozhitoon moozo-boodaajigan.,I made a moose call two days ago.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/awasinaago___ex287__nj520106.mp4
Ingii-goshko'igonaan gii-piindigegozid awe ingozisinaan awasinaago.,We were surprised that out son moved in on us the other day.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/biindigegozi___ex38__es673055.mp4
Giga-dakizidewaj. Biitakizinen.,Your feet will get cold. Put your shoes on!,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/dakizidewaji___ex128__nj61133702.mp4
Apichi nindapinikaazonan ezhi-anishinaabewinikaazoyaan.,The robin is the spirit bird that gave (my grandmother) my name.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/apichi___ex124__nj620080.mp4
Aandi ezhiwaned.,Where is he toting it (on his back).,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/izhiwane__ai_ex__sp66207_0.mp4
Gaye giin na giwii-wiijiiw. Oodenaang niwii-izhaa.,Do you want to go with me? I'm going to town.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaye_giin__pr_ex__rg68323_0.mp4
Gaye giin imaa gidoozhibii'igaaz.,You are on the list too.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaye_giin__pr_ex__sp65680ALT_0.mp4
Mii go bezhigwan enanaamoyaan gaye giin enanaamoyin.,I'm breathing the same way you are breathing.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inanaamo__ai_ex__sp66499.mp4
Onzaamiinowag awesiinyag noopimiing. Gaye giin gidaa-andawenjige.,There's a lot of animals in the woods. You too should go hunting.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/awesiinh___ex89__nj611400.mp4
Zhegwaandagin asemaa enikweshinan ji-mino-bawaajigeyan.,Stick tobacco into the boughs under your head to have good dreams.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/zhegwaandagin___ex71__nj524102.mp4
Ogwiinawaabamaan aana-wii-anoonaad ji-nibinaadinid.,He couldn't see him when he wanted him to go after water.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gwiinawaabam__ta_ex__sp67049_0.mp4
Gii-mooshkinebide imaa abiwining 'iw waasigan.,The flash of the lightning filled the living room.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasigan__ni_ex__sp65210_0.mp4
Beshowad iwidi waa-inaazhagaameyaan.,I'm going to walk a short distance along the shore.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/beshowad__ii_ex__sp65575_0.mp4
Bizaanad agwajiing. Gaawiin noodinzinoon.,It's pretty still outside. There's no wind blowing.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bizaanad___ex105__nj595016.mp4
Gigii-wiisinim ina zhebaa.,Do you eat this morning?,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiisini__ai_ex__rg68350ad_0.mp4
Gii-wiisagise omisadaang zhebaa.,He had a sharp pain in his stomach this morning.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiisagise__ai_ex__sp65603_0.mp4
John gii-kiiwebizo zhebaa.,John drove home this morning.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/giiwebizo__ai_ex__sp67076add_0.mp4
Ngii-pi-ganoonig zhebaa.,She called me this morning.,lw,https://s3.amazonaws.com/ojibwe-audio-transcoded/zhebaa___ex78__lw687071.mp4
Zhebaa ingii-o-gichi-wiisinimin.,This morning we went and had a big meal.,gh,https://s3.amazonaws.com/ojibwe-audio-transcoded/zhebaa___ex42__gh687071.mp4
Onzaam wiiba ningii'-amaji'igoo zhebaa.,They woke me up too early this morning.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/onzaam_20wiiba___ex113__nj520038_0.mp4
Mii gii-kiizhiitaayaan ozisinaaganeyaan.,I'm done setting the table.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozisinaagane__ai_ex__rg68121_0.mp4
Gii-onagimaa imaa ji-namadabid zagaswe'idiiwining,He was nominated to sit on the tribal council.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/onagim__ta_ex__sp65549ad.mp4
Mii gii-onagimind ji-ogimaakwewid awe noozhishenh imaa gii-niimi'iding.,They selected my grandaughter to be the princess at the last pow-wow.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ogimaakwewi___ex28__es676003.mp4
Waawaabiganoojiinyan ozaaganemaan.,He has whiskers. {Literally: He has a mouse sticking out of his mouth.],es,https://s3.amazonaws.com/ojibwe-audio-transcoded/zaaganem__ta_ex__sp66633_0.mp4
Megwaa-bimoseyaan, ingii-noondawaa baapaase.,While I was walking, I heard a woodpecker.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/megwaa-___ex39__rg683034.mp4
Madweyaakwa'ige ako baapaase endaaayaan.,Once in a while I hear a woodpecker knocking on my house,gj,https://s3.amazonaws.com/ojibwe-audio-transcoded/baapaase___ex112__gj512066.mp4
Mitigong ondanjige baapaase. Mii iwe gaa-onji-bagone'waad mitigoo',A redheaded woodpecker gets its food from a tree. That's why it makes holes in the tree.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/baapaase___ex110__nj520082.mp4
Debinaak igo ningii-chiishada'ige.,I just swept up any old way.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/debinaak__av_ex__rg68318ad_0.mp4
Wiikwaasinjigan aabajitoon wii-chiishada'igeyan. Wiikwaasinoon gaa-biiwisingin michisag.,Use a vacuum cleaner when you want to sweep up something. Stuff scattered on the floor is sucked up.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiikwaasinjigan___ex115__nj522127.mp4
Awiya awasi-baawitig danwewezigewag.,There's somebody shooting on the other side of the rapids.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/danwewezige___ex110__nj606093.mp4
Wiinetawaa go ani-aazhawa'owag.,Just the two of them are paddling across.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiinetawaa_20go___ex225__nj520055.mp4
Onzaam niibiwa inaginde waasigani-bimide.,Gas costs too much.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/onzaam_20niibiwa___ex108__nj520038_0.mp4
Aaniin enaabadiziwaad gaawayag. / Aabadiziwag gaawayag gegoo mazinaabidoo'igaadeg, maagizhaa wiigwaasi-makakoons.,How are quills used? / Quills are used when something is decorating with embroidery, maybe a small birch bark box.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/inaabadizi___ex147__nj611449.mp4
Nookaa imaa jiigashkiig. Gego ndawaaj gabeshisiidaa omaa.,It's soft there by the swamp, so let's not camp here.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/jiigashkiig__av_ex__sp65325_0.mp4
Daga sa naa inaabin ezhaayang, Giga-bitaabikishinimin.,Come on now, look where we're going. We might hit a reef.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/daga_20sa_20naa___ex334__nj520065.mp4
Inaabin enakwazhiweyan. Giga-bitaabikishin minisaabik.,Look where you paddle to. You might get hung up on a reef.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/minisaabik___ex102__nj523148.mp4
Ogii'-miikwa'waan asiniin gaa-bimishkaad. Gii-bitaabikishin.,The paddler accidentally hit the reef right on.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/miikwa_wi___ex106__nj590041.mp4
Ogii-agwaawen iwe maawandoogwaason gaa-kiizhiikang.,She put the quilt she finished up on display.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/agwaawe__ai_ex__sp68073_0.mp4
Gaawiin debisinzinoon; onzaam dakwaa.,It won't fit because it's too short.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/dakwaa__ii_ex__sp65686_0.mp4
Biinjipwaagan ashi 'a asemaa.,Put the tobacco in the pipe.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/biinjipwaagan___ex292__nj520065.mp4
Gomaa go akwegad adoopowiniigin.,The table cloth is such and such a length.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/akwegad___ex106__nj592150.mp4
