ojibwe,english,fst_readings,speaker
Baakibidoon waasechigan.,Pull the window open.,"[{'word_form': 'baakibidoon', 'fst_analyses': ['baakibidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'baakibidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'waasechigan', 'fst_analyses': ['waasechigan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Ani-gashkiidibikak gidaa-gibiiga'aanaan giwaasechiganan.,As it gets dark you should close the curtains on the windows.,"[{'word_form': 'ani-gashkiidibikak', 'fst_analyses': ['PVDir/ani+gashkiidibikad+VII+Cnj+Pos+Neu+0SgSubj', 'PVDir/ani+gashkiidibikad+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': ""gidaa-gibiiga'aanaan"", 'fst_analyses': []}, {'word_form': 'giwaasechiganan', 'fst_analyses': ['waasechigan+NI+Pl+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]",nj
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,"[{'word_form': 'odaanaang', 'fst_analyses': ['odaanaang+ADVLoc']}, {'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-bimaagonebizod', 'fst_analyses': ['PVSub/gaa+bimaagonebizo+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+bimaagonebizo+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Zhebaa ingii-pi-aazhoge'adoo. Ishkwaa-naawakweg niwii'-ani-aazhoge'adoo.,This morning I came across the bridge. This afternoon I'm going back across the bridge.,"[{'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': ""ingii-pi-aazhoge'adoo"", 'fst_analyses': [""PVTense/gii+PVDir/bi+aazhoge'adoo+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ishkwaa-naawakweg', 'fst_analyses': ['ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0SgSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0SgSubj', 'ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0PlSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': ""niwii'-ani-aazhoge'adoo"", 'fst_analyses': [""PVTense/wii'+PVDir/ani+aazhoge'adoo+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Boozaabikinigan ginigawinan waasigani-bimideng.,Mix the oil into the gas.,"[{'word_form': 'boozaabikinigan', 'fst_analyses': ['boozaabikinigan+NI+Sg']}, {'word_form': 'ginigawinan', 'fst_analyses': ['ginigawinan+VTI+Imp+Sim+2SgSubj+0PlObj', 'ginigawinan+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'waasigani-bimideng', 'fst_analyses': ['waasigani-bimide+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]",nj
Aandi endazhi-aazhidebii'igeng. | Ganabaj imaa gichi-waakaa'iganing.,Where is the voting going to take place? | I think it's in the main building.,"[{'word_form': 'aandi', 'fst_analyses': ['aandi+ADVInter']}, {'word_form': ""endazhi-aazhidebii'igeng"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': '|', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': ""gichi-waakaa'iganing"", 'fst_analyses': [""PNLex/gichi+waakaa'igan+NI+Loc"", ""PNLex/chi+waakaa'igan+NI+Loc+2SgPoss""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Agwaase mikwam gii-babaamaa'ogod gii-ziigwang.,The ice comes up on shore when it drifts around in the spring.,"[{'word_form': 'agwaase', 'fst_analyses': ['agwaase+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'mikwam', 'fst_analyses': ['mikwam+NA+ProxSg']}, {'word_form': ""gii-babaamaa'ogod"", 'fst_analyses': [""PVTense/gii+babaamaa'ogo+VAI+Cnj+Pos+Neu+3SgProxSubj""]}, {'word_form': 'gii-ziigwang', 'fst_analyses': ['PVTense/gii+ziigwan+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+ziigwan+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Waakwaandesiing niin niwii'-ondab.,I want to sit at the end of the lodge.,"[{'word_form': 'waakwaandesiing', 'fst_analyses': ['waakwaandesiing+ADVLoc']}, {'word_form': 'niin', 'fst_analyses': ['niin+PRONPer+NA+1Sg']}, {'word_form': ""niwii'-ondab"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Waasaakwanjigewag waaboozoog. Mii omaa ge-izhi-agoodooyang.,Rabbits chewed the sticks bare. We'll set our snares here.,"[{'word_form': 'waasaakwanjigewag', 'fst_analyses': ['waasaakwanjige+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'waaboozoog', 'fst_analyses': ['waabooz+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'ge-izhi-agoodooyang', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Ogidibiig babaamaadagewag omashkoziisiwag,The black bugs swim about on top of the water.,"[{'word_form': 'ogidibiig', 'fst_analyses': ['ogidibiig+ADVLoc']}, {'word_form': 'babaamaadagewag', 'fst_analyses': ['babaamaadage+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'omashkoziisiwag', 'fst_analyses': []}]",nj
Naazibiiwidoon waasigani-bimide-atoobaanan.,Take the gas tanks down to the lake.,"[{'word_form': 'naazibiiwidoon', 'fst_analyses': ['naazibiiwidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'naazibiiwidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'waasigani-bimide-atoobaanan', 'fst_analyses': ['waasigani-bimide-atoobaan+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}]",nj
Apane mooshkinebadoon waasigani-bimide-biiwaabik.,Always keep your gas can full.,"[{'word_form': 'apane', 'fst_analyses': ['apane+ADVTmp']}, {'word_form': 'mooshkinebadoon', 'fst_analyses': ['mooshkinebadoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'mooshkinebadoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'waasigani-bimide-biiwaabik', 'fst_analyses': ['waasigani-bimide-biiwaabik+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Ziikobiigisidoon waasigani-bimide-biiwaabik.,Drain the jerry can out.,"[{'word_form': 'ziikobiigisidoon', 'fst_analyses': []}, {'word_form': 'waasigani-bimide-biiwaabik', 'fst_analyses': ['waasigani-bimide-biiwaabik+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Ningii-pawaanig ningoding ji-aazhawinamawag anishinaabe-wiinzowin.,She dreamt of me passing my spirit name on to her.,"[{'word_form': 'ningii-pawaanig', 'fst_analyses': ['PVTense/gii+bawaazh+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj']}, {'word_form': 'ningoding', 'fst_analyses': ['ningoding+ADVTmp']}, {'word_form': 'ji-aazhawinamawag', 'fst_analyses': ['PVTense/daa+aazhawinamaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/ga+aazhawinamaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'anishinaabe-wiinzowin', 'fst_analyses': ['anishinaabe-wiinzowin+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Bekaa bimibizon gaa-gikendanziwan zaaga'igan. Maagizhaa giga-bitaabikishin,Go slow when you don't know the lake. You might hit a reef.,"[{'word_form': 'bekaa', 'fst_analyses': ['bekaa+ADVMan']}, {'word_form': 'bimibizon', 'fst_analyses': ['bimibizo+VAI+Imp+Sim+2SgSubj']}, {'word_form': 'gaa-gikendanziwan', 'fst_analyses': ['PVSub/gaa+gikendam+VAI+Cnj+Neg+Neu+2SgSubj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj']}, {'word_form': ""zaaga'igan"", 'fst_analyses': [""zaaga'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'maagizhaa', 'fst_analyses': ['maagizhaa+ADVMan']}, {'word_form': 'giga-bitaabikishin', 'fst_analyses': ['PVTense/ga+bitaabikishin+VAI+Ind+Pos+Neu+2SgSubj']}]",nj
Weweni bimibizon. Ozhaashaagonagaa miikana.,Drive carefully. The road is slippery from the snow.,"[{'word_form': 'weweni', 'fst_analyses': ['weweni+ADVMan']}, {'word_form': 'bimibizon', 'fst_analyses': ['bimibizo+VAI+Imp+Sim+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ozhaashaagonagaa', 'fst_analyses': ['ozhaashaagonagaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'miikana', 'fst_analyses': ['miikana+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Awasinaago ningii'-ozhitoon moozo-boodaajigan.,I made a moose call two days ago.,"[{'word_form': 'awasinaago', 'fst_analyses': ['awasinaago+ADVTmp']}, {'word_form': ""ningii'-ozhitoon"", 'fst_analyses': [""PVTense/gii'+ozhitoon+VTI+Ind+Pos+Neu+1SgSubj+0SgObj""]}, {'word_form': 'moozo-boodaajigan', 'fst_analyses': ['moozo-boodaajigan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Giga-dakizidewaj. Biitakizinen.,Your feet will get cold. Put your shoes on!,"[{'word_form': 'giga-dakizidewaj', 'fst_analyses': ['PVTense/ga+dakizidewaji+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'biitakizinen', 'fst_analyses': ['biitakizine+VAI+Imp+Sim+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Apichi nindapinikaazonan ezhi-anishinaabewinikaazoyaan.,The robin is the spirit bird that gave (my grandmother) my name.,"[{'word_form': 'apichi', 'fst_analyses': ['apichi+NA+ProxSg']}, {'word_form': 'nindapinikaazonan', 'fst_analyses': ['apinikaazon+VAIO+Ind+Pos+Neu+1SgSubj+0PlObj', 'apinikaazon+VAIO+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'ezhi-anishinaabewinikaazoyaan', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Onzaamiinowag awesiinyag noopimiing. Gaye giin gidaa-andawenjige.,There's a lot of animals in the woods. You too should go hunting.,"[{'word_form': 'onzaamiinowag', 'fst_analyses': ['onzaamiino+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'awesiinyag', 'fst_analyses': ['awesiinh+NA+ProxPl']}, {'word_form': 'noopimiing', 'fst_analyses': ['noopimiing+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer+NA+2Sg']}, {'word_form': 'gidaa-andawenjige', 'fst_analyses': ['PVTense/daa+andawenjige+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Zhegwaandagin asemaa enikweshinan ji-mino-bawaajigeyan.,Stick tobacco into the boughs under your head to have good dreams.,"[{'word_form': 'zhegwaandagin', 'fst_analyses': []}, {'word_form': 'asemaa', 'fst_analyses': ['asemaa+NA+ProxSg']}, {'word_form': 'enikweshinan', 'fst_analyses': []}, {'word_form': 'ji-mino-bawaajigeyan', 'fst_analyses': ['PVTense/daa+PVLex/mino+bawaajige+VAI+Cnj+Pos+Neu+2SgSubj', 'PVTense/ga+PVLex/mino+bawaajige+VAI+Cnj+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Bizaanad agwajiing. Gaawiin noodinzinoon.,It's pretty still outside. There's no wind blowing.,"[{'word_form': 'bizaanad', 'fst_analyses': ['bizaanad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'agwajiing', 'fst_analyses': ['agwajiing+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'noodinzinoon', 'fst_analyses': ['noodin+VII+Ind+Neg+Neu+0PlSubj', 'noodin+VII+Ind+Neg+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Onzaam wiiba ningii'-amaji'igoo zhebaa.,They woke me up too early this morning.,"[{'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'wiiba', 'fst_analyses': ['wiiba+ADVTmp']}, {'word_form': ""ningii'-amaji'igoo"", 'fst_analyses': [""PVTense/gii'+amaji'+VTA+Ind+Pos+Neu+XSubj+1SgObj""]}, {'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}]",nj
Mitigong ondanjige baapaase. Mii iwe gaa-onji-bagone'waad mitigoo',A redheaded woodpecker gets its food from a tree. That's why it makes holes in the tree.,"[{'word_form': 'mitigong', 'fst_analyses': ['mitig+NA+Loc', 'mitig+NI+Loc']}, {'word_form': 'ondanjige', 'fst_analyses': ['ondanjige+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'baapaase', 'fst_analyses': ['baapaase+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': ""gaa-onji-bagone'waad"", 'fst_analyses': [""PVSub/gaa+PVRel/onji+bagone'wi+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVSub/gaa+PVRel/onji+bagone'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVSub/gaa+PVRel/onji+bagone'wi+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVSub/gaa+PVRel/onji+bagone'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': ""mitigoo'"", 'fst_analyses': ['mitig+NA+ObvPl']}]",nj
Wiikwaasinjigan aabajitoon wii-chiishada'igeyan. Wiikwaasinoon gaa-biiwisingin michisag.,Use a vacuum cleaner when you want to sweep up something. Stuff scattered on the floor is sucked up.,"[{'word_form': 'wiikwaasinjigan', 'fst_analyses': ['wiikwaasinjigan+NI+Sg']}, {'word_form': 'aabajitoon', 'fst_analyses': ['aabajitoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'aabajitoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': ""wii-chiishada'igeyan"", 'fst_analyses': [""PVTense/wii+jiishada'ige+VAI+Cnj+Pos+Neu+2SgSubj""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'wiikwaasinoon', 'fst_analyses': ['wiikwaasin+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': 'gaa-biiwisingin', 'fst_analyses': ['PVSub/gaa+biiwisin+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+biiwisin+VII+Pcp+Pos+Neu+0PlSubj+0PlHead']}, {'word_form': 'michisag', 'fst_analyses': ['michisag+NI+Sg', 'michisag+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}]",nj
Awiya awasi-baawitig danwewezigewag.,There's somebody shooting on the other side of the rapids.,"[{'word_form': 'awiya', 'fst_analyses': ['awiya+PRONIndf+NA']}, {'word_form': 'awasi-baawitig', 'fst_analyses': ['PNLex/awasi+baawitig+NI+Sg', 'awasi-baawitig+ADVLoc']}, {'word_form': 'danwewezigewag', 'fst_analyses': ['danwewezige+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Wiinetawaa go ani-aazhawa'owag.,Just the two of them are paddling across.,"[{'word_form': 'wiinetawaa', 'fst_analyses': ['wiinetawaa+PRONPer+NA+3Pl']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': ""ani-aazhawa'owag"", 'fst_analyses': [""PVDir/ani+aazhawa'o+VAI+Ind+Pos+Neu+3PlProxSubj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Onzaam niibiwa inaginde waasigani-bimide.,Gas costs too much.,"[{'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'niibiwa', 'fst_analyses': ['niibiwa+ADVQnt']}, {'word_form': 'inaginde', 'fst_analyses': ['inaginde+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'waasigani-bimide', 'fst_analyses': ['waasigani-bimide+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Inaabin enakwazhiweyan. Giga-bitaabikishin minisaabik.,Look where you paddle to. You might get hung up on a reef.,"[{'word_form': 'inaabin', 'fst_analyses': ['inaabi+VAI+Imp+Sim+2SgSubj']}, {'word_form': 'enakwazhiweyan', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'giga-bitaabikishin', 'fst_analyses': ['PVTense/ga+bitaabikishin+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': 'minisaabik', 'fst_analyses': ['minisaabik+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Ogii'-miikwa'waan asiniin gaa-bimishkaad. Gii-bitaabikishin.,The paddler accidentally hit the reef right on.,"[{'word_form': ""ogii'-miikwa'waan"", 'fst_analyses': [""PVTense/gii'+miikwa'wi+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii'+miikwa'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii'+miikwa'wi+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVTense/gii'+miikwa'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'asiniin', 'fst_analyses': ['asin+NA+ObvSg', 'asin+NA+ObvPl']}, {'word_form': 'gaa-bimishkaad', 'fst_analyses': ['PVSub/gaa+bimishkaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+bimishkaa+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gii-bitaabikishin', 'fst_analyses': ['PVTense/gii+bitaabikishin+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Biinjipwaagan ashi 'a asemaa.,Put the tobacco in the pipe.,"[{'word_form': 'biinjipwaagan', 'fst_analyses': ['biinjipwaagan+ADVLoc']}, {'word_form': 'ashi', 'fst_analyses': ['ashi+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'ashi+VTA+Imp+Sim+2SgSubj+3PlProxObj', 'ashi+ADVConj']}, {'word_form': ""'a"", 'fst_analyses': [""'a+PRONDem+NA+ProxSg""]}, {'word_form': 'asemaa', 'fst_analyses': ['asemaa+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]",nj
